NP_001192667.1	E1BBR9
NP_919261.2	Q68D10
XP_001505022.2	MISSING
XP_003214859.1	G1K891
XP_004415709.1	A0A2U3X0Z6
XP_004752162.1	A0A8U0MR83
XP_005699581.2	A0A452FCP3
XP_005990542.1	MISSING
XP_006865896.1	A0A9B0TIB0
XP_010590493.2	MISSING
XP_019803585.2	A0A2U4CDS1
XP_026058860.1	A0A6P6JGS6
XP_026095161.1	A0A6P6MGR2
XP_026368022.2	MISSING
XP_027433772.1	A0A6J2BU91
XP_036716049.1	A0A8B8Y2E8
XP_038425149.1	A0A8C0TRE6
XP_068411921.1	MISSING
