RefSeq,NetCharge,SpeciesAbbr,Status
NP_001192667.1,34.999999999999616,Btau,terrestrial
NP_919261.2,34.99999999999953,Hsap,terrestrial
XP_003214859.1,33.999999999999766,Acar,terrestrial
XP_004415709.1,36.99999999999963,Oros,aquatic
XP_005699581.2,33.999999999999616,Chir,terrestrial
XP_019803585.2,39.999999999999474,Ttru,aquatic
XP_026058860.1,33.99999999999969,Caur,aquatic
XP_026095161.1,29.999999999999684,Caur,aquatic
XP_027433772.1,34.99999999999949,Zcal,aquatic
