NP_001157488.1	Ecab
NP_001349775.1	Hsap
NP_776306.1	Btau
XP_003220980.1	Acar
XP_003419836.1	Lafr
XP_004416152.1	Oros
XP_005680660.1	Chir
XP_006865290.1	Casa
XP_026073056.1	Caur
XP_026102498.1	Caur
XP_026355400.1	Uarc
XP_027449767.1	Zcal
XP_033721510.1	Ttru
XP_036722853.1	Tman
XP_038406654.1	Clup
XP_044939886.1	Mfur
XP_064419367.1	Lcha
XP_068416897.1	Bacu
